run,time,epoch,id_loss,tri_loss,msel_loss,dcl_loss,total_loss,acc
256x128,2026-06-19-05:47:20,0,11.9086685,12.475067,0.0,0.0,24.383749,0.017578125
256x128,2026-06-19-05:52:48,1,8.504924,3.0162058,0.0,0.0,11.521136,0.22988506
256x128,2026-06-19-05:59:10,2,3.796491,0.7870833,0.0,0.0,4.5835733,0.58497214
256x128,2026-06-19-06:04:51,3,1.8841859,0.40774712,0.0,0.0,2.2919316,0.76971084
256x128,2026-06-19-06:11:24,4,1.1597847,0.2564617,0.0,0.0,1.4162463,0.85329115
256x128,2026-06-19-06:17:10,5,0.9131118,0.19822627,0.0,0.0,1.1113379,0.8806573
256x128,2026-06-19-06:23:48,6,0.858293,0.3176817,0.19206385,0.3262506,1.694291,0.88734734
256x128,2026-06-19-06:29:38,7,0.6289929,0.19021015,0.104827136,0.31221476,1.2362446,0.91507274
256x128,2026-06-19-06:36:22,8,0.52587265,0.15169601,0.08797958,0.30212542,1.0676732,0.93083245
256x128,2026-06-19-06:42:13,9,0.44547924,0.12416281,0.07671922,0.29422036,0.94058233,0.9403062
256x128,2026-06-19-06:48:56,10,0.37280583,0.0990257,0.06657596,0.28434974,0.8227574,0.9502739
256x128,2026-06-19-06:54:50,11,0.31633508,0.08666,0.059936885,0.27796948,0.7409012,0.95671695
256x128,2026-06-19-07:01:40,12,0.28375882,0.07625376,0.052626986,0.27227786,0.6849173,0.96206
256x128,2026-06-19-07:07:32,13,0.23052035,0.062473882,0.046500754,0.26438344,0.60387856,0.9678969
256x128,2026-06-19-07:14:16,14,0.19078451,0.053059116,0.042247415,0.2566727,0.542764,0.97368896
256x128,2026-06-19-07:20:09,15,0.16146727,0.046590537,0.0385864,0.25015688,0.49680066,0.9770115
256x128,2026-06-19-07:26:55,16,0.13314226,0.043184873,0.033939846,0.2433382,0.45360485,0.9808279
256x128,2026-06-19-07:32:51,17,0.113159366,0.03745749,0.029812045,0.23567687,0.4161055,0.9839709
256x128,2026-06-19-07:39:41,18,0.090788975,0.03241269,0.027385771,0.22994043,0.38052815,0.9869792
256x128,2026-06-19-07:45:36,19,0.07593279,0.029578082,0.024980294,0.22249421,0.35298532,0.9892915
256x128,2026-06-19-07:52:31,20,0.067621954,0.028284898,0.023766318,0.21814932,0.3378223,0.9904813
256x128,2026-06-19-07:58:40,21,0.05888847,0.026641706,0.021973664,0.21449815,0.32200193,0.9913344
256x128,2026-06-19-08:05:39,22,0.05883497,0.026886614,0.022033913,0.21124555,0.3190011,0.9913793
256x128,2026-06-19-08:11:44,23,0.05167197,0.02629284,0.021469934,0.2096973,0.30913207,0.99272627
288x144,2026-06-19-05:47:19,0,11.90856,12.365803,0.0,0.0,24.274378,0.01647809
288x144,2026-06-19-05:51:59,1,8.45896,3.007791,0.0,0.0,11.46675,0.23334232
288x144,2026-06-19-05:57:39,2,3.7137482,0.76368827,0.0,0.0,4.4774327,0.5955909
288x144,2026-06-19-06:02:21,3,1.8378838,0.3873166,0.0,0.0,2.2252007,0.7778601
288x144,2026-06-19-06:08:01,4,1.1510541,0.25242838,0.0,0.0,1.4034824,0.8543463
288x144,2026-06-19-06:12:42,5,0.93776834,0.20462573,0.0,0.0,1.1423934,0.87841237
288x144,2026-06-19-06:18:29,6,0.8420373,0.31722197,0.19145444,0.32596114,1.6766748,0.889278
288x144,2026-06-19-06:23:18,7,0.629885,0.18844959,0.10416987,0.31237674,1.2348815,0.9163748
288x144,2026-06-19-06:29:03,8,0.5453217,0.15523505,0.088308305,0.3034627,1.0923281,0.9264547
288x144,2026-06-19-06:33:53,9,0.46103913,0.124362,0.07639988,0.2939714,0.9557716,0.9390266
288x144,2026-06-19-06:39:41,10,0.38715994,0.1062014,0.06835946,0.2863781,0.8480997,0.94692886
288x144,2026-06-19-06:44:28,11,0.35434538,0.09675198,0.060706884,0.2817411,0.79354525,0.95103717
288x144,2026-06-19-06:50:11,12,0.2816495,0.079317406,0.054496206,0.2733044,0.6887672,0.9606232
288x144,2026-06-19-06:54:57,13,0.24403554,0.06449148,0.047113046,0.26518637,0.6208264,0.9674928
288x144,2026-06-19-07:00:40,14,0.18973224,0.055215385,0.042393934,0.25823405,0.545576,0.9738012
288x144,2026-06-19-07:05:25,15,0.1712758,0.04972992,0.03774823,0.2518656,0.5106197,0.97662985
288x144,2026-06-19-07:11:09,16,0.13749151,0.044094373,0.034067888,0.24570099,0.4613549,0.98103
288x144,2026-06-19-07:15:54,17,0.11520604,0.039893292,0.030574158,0.23765661,0.42333007,0.9843525
288x144,2026-06-19-07:21:37,18,0.092126645,0.033333216,0.028389607,0.23099774,0.38484702,0.9874057
288x144,2026-06-19-07:26:21,19,0.079251714,0.031592146,0.025558136,0.2238273,0.36022952,0.9889772
288x144,2026-06-19-07:32:00,20,0.07323485,0.030179212,0.023884092,0.22021523,0.34751335,0.98920166
288x144,2026-06-19-07:36:46,21,0.065430984,0.029151244,0.022519521,0.21671928,0.333821,0.9902344
288x144,2026-06-19-07:42:29,22,0.06647407,0.027414916,0.021720111,0.21452175,0.33013085,0.9909303
288x144,2026-06-19-07:47:16,23,0.058607075,0.026996454,0.021413215,0.21269706,0.31971374,0.99162626
